Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;4;;;2;-102.86;-15.34;-167.35;10.09665291;15;10.09665291;139.9058566;-102.86;-15.34;167.35
2;4;;;2;-108.26;-15.64;-172.65;7.572318007;16;7.572318007;147.4781746;-108.26;-15.64;172.65
2;4;;;2;-108.41;-15.46;-172.58;0.244540385;17;0.244540385;147.722715;-108.41;-15.46;172.58
2;4;;;2;-116.98;-19.65;-177.28;10.63442523;18;10.63442523;158.3571402;-116.98;-19.65;177.28
2;4;2;2;2;-120.86;-21.29;-182.92;7.039431795;19;7.039431795;165.396572;-120.86;-21.29;182.92
2;5;;;0;-22.12;6.52;-53.63;165.0420789;0;0;0;-22.12;6.52;53.63
2;5;;;0;-22.45;7.54;-53.69;1.07373181;1;1.07373181;1.07373181;-22.45;7.54;53.69
2;5;;;0;-23.82;11.47;-56.24;4.881014239;2;4.881014239;5.954746049;-23.82;11.47;56.24
2;5;G;0;0;-23.09;15.24;-60.35;5.624757773;3;5.624757773;11.57950382;-23.09;15.24;60.35
2;6;;;0;-9.2;4.55;-50.88;19.9220757;0;0;0;-9.2;4.55;50.88
2;6;;;0;-8.91;5.22;-50.87;0.730136973;1;0.730136973;0.730136973;-8.91;5.22;50.87
2;6;;;0;-8.84;5.93;-52.48;1.760994037;2;1.760994037;2.491131011;-8.84;5.93;52.48
2;6;;;0;-8.52;6.84;-56.34;3.97870582;3;3.97870582;6.469836831;-8.52;6.84;56.34
2;6;;;0;-8.38;6.49;-60.34;4.017723236;4;4.017723236;10.48756007;-8.38;6.49;60.34
2;6;;;0;-7.8;6.61;-65.13;4.826479048;5;4.826479048;15.31403911;-7.8;6.61;65.13
2;6;;;0;-6.07;3.64;-72.27;7.924228669;6;7.924228669;23.23826778;-6.07;3.64;72.27
2;6;;;0;-3.23;1.75;-82.57;10.85023963;7;10.85023963;34.08850741;-3.23;1.75;82.57
2;6;;;0;-0.85;-2.28;-91.64;10.20638036;8;10.20638036;44.29488777;-0.85;-2.28;91.64
2;6;;;0;1.42;-2.36;-100.64;9.282203402;9;9.282203402;53.57709117;1.42;-2.36;100.64
2;6;;;0;3.53;-2.66;-111.08;10.65531323;10;10.65531323;64.2324044;3.53;-2.66;111.08
2;6;;;0;6.27;-4.03;-119.36;8.828527624;11;8.828527624;73.06093202;6.27;-4.03;119.36
2;6;;;0;6.33;-6.8;-127.65;8.740743675;12;8.740743675;81.8016757;6.33;-6.8;127.65
2;6;;;0;4.41;-11.68;-139.71;13.15083267;13;13.15083267;94.95250837;4.41;-11.68;139.71
2;6;;;0;0.24;-16.41;-145.32;8.440017772;14;8.440017772;103.3925261;0.24;-16.41;145.32
2;6;;;0;-3.68;-18.63;-151.32;7.502986072;15;7.502986072;110.8955122;-3.68;-18.63;151.32
2;6;;;0;-8.78;-21.62;-157;8.198322999;16;8.198322999;119.0938352;-8.78;-21.62;157
2;6;;;0;-12.81;-21.2;-160.84;5.582374047;17;5.582374047;124.6762093;-12.81;-21.2;160.84
2;6;;;0;-14.72;-18.37;-163.88;4.57149866;18;4.57149866;129.2477079;-14.72;-18.37;163.88
2;6;;;0;-18.36;-15.29;-166.2;5.302678568;19;5.302678568;134.5503865;-18.36;-15.29;166.2
2;6;;;0;-22.15;-12.25;-169.32;5.774088673;20;5.774088673;140.3244752;-22.15;-12.25;169.32
2;6;;;0;-27.33;-8.66;-169.49;6.304712523;21;6.304712523;146.6291877;-27.33;-8.66;169.49
2;6;;;0;-31.3;-4.08;-172.9;6.954523708;22;6.954523708;153.5837114;-31.3;-4.08;172.9
2;6;G;0;0;-36.28;0.69;-176.13;7.614867038;23;7.614867038;161.1985784;-36.28;0.69;176.13
2;7;;;2;-13.21;0.26;-55.93;122.3946478;0;0;0;-13.21;0.26;55.93
2;7;;;2;-13.21;0.28;-55.95;0.028284271;1;0.028284271;0.028284271;-13.21;0.28;55.95
2;7;;;2;-13.63;1;-56.86;1.234058345;2;1.234058345;1.262342617;-13.63;1;56.86
2;7;;;2;-14.09;1.96;-59.16;2.534403283;3;2.534403283;3.7967459;-14.09;1.96;59.16
2;7;;;2;-15.15;2.64;-63.45;4.471028964;4;4.471028964;8.267774864;-15.15;2.64;63.45
2;7;;;2;-15.69;2.38;-70.25;6.82636067;5;6.82636067;15.09413553;-15.69;2.38;70.25
2;7;;;2;-20.02;2.38;-79.14;9.88842758;6;9.88842758;24.98256311;-20.02;2.38;79.14
2;7;;;2;-26.11;-1.16;-93.01;15.55623991;7;15.55623991;40.53880302;-26.11;-1.16;93.01
2;7;;;2;-33.08;-4.11;-105.38;14.50173438;8;14.50173438;55.0405374;-33.08;-4.11;105.38
2;7;;;2;-36.72;-6.17;-116.25;11.64689229;9;11.64689229;66.68742969;-36.72;-6.17;116.25
2;7;;;2;-45.25;-7.71;-125.73;12.84534546;10;12.84534546;79.53277515;-45.25;-7.71;125.73
2;7;;;2;-53.14;-4.73;-139.03;15.74873011;11;15.74873011;95.28150526;-53.14;-4.73;139.03
2;7;;;2;-62.21;-5.11;-148.99;13.47630884;12;13.47630884;108.7578141;-62.21;-5.11;148.99
2;7;;;2;-68.44;-5.78;-157.45;10.5277443;13;10.5277443;119.2855584;-68.44;-5.78;157.45
2;7;;;2;-80.97;-8.01;-167.26;16.06891098;14;16.06891098;135.3544694;-80.97;-8.01;167.26
2;7;;;2;-90.93;-8.69;-172.92;11.47604461;15;11.47604461;146.830514;-90.93;-8.69;172.92
2;7;;;2;-100.58;-11.78;-175.58;10.47598205;16;10.47598205;157.306496;-100.58;-11.78;175.58
2;7;2;2;2;-110.32;-11.91;-178.19;10.08447321;17;10.08447321;167.3909693;-110.32;-11.91;178.19
2;8;;;0;-10.07;-0.12;-56.57;158.0521781;0;0;0;-10.07;-0.12;56.57
2;8;;;0;-10.64;-3.97;-57.64;4.036372133;1;4.036372133;4.036372133;-10.64;-3.97;57.64
2;8;;;0;-12.32;-10.06;-58.94;6.449844959;2;6.449844959;10.48621709;-12.32;-10.06;58.94
2;8;G;0;0;-14.16;-16.41;-60.63;6.823796597;3;6.823796597;17.31001369;-14.16;-16.41;60.63
2;9;;;1;-2.34;-1.07;-57.21;19.66530956;0;0;0;-2.34;-1.07;57.21
2;9;;;1;-3.26;-1.83;-57.94;1.398892419;1;1.398892419;1.398892419;-3.26;-1.83;57.94
2;9;;;1;-5.35;-2.29;-59.5;2.648263582;2;2.648263582;4.047156001;-5.35;-2.29;59.5
2;9;;;1;-10.45;-6.02;-61.12;6.522829141;3;6.522829141;10.56998514;-10.45;-6.02;61.12
2;9;;;1;-17.04;-8.53;-62.85;7.260929693;4;7.260929693;17.83091483;-17.04;-8.53;62.85
2;9;;;1;-24.29;-13.17;-60.2;9.006364416;5;9.006364416;26.83727925;-24.29;-13.17;60.2
2;9;1;1;1;-32.66;-16.9;-57.91;9.445311006;6;9.445311006;36.28259026;-32.66;-16.9;57.91
2;10;;;2;-0.41;-0.98;-58.79;35.97614904;0;0;0;-0.41;-0.98;58.79
2;10;;;2;-0.05;-1.29;-59.13;0.584208867;1;0.584208867;0.584208867;-0.05;-1.29;59.13
2;10;;;2;1.23;-1.02;-61.38;2.602652493;2;2.602652493;3.18686136;1.23;-1.02;61.38
2;10;;;2;2.24;-1.36;-64.92;3.69693116;3;3.69693116;6.88379252;2.24;-1.36;64.92
2;10;;;2;4.63;-1.36;-71.47;6.972417084;4;6.972417084;13.8562096;4.63;-1.36;71.47
2;10;;;2;5.95;-2.63;-79.56;8.294781492;5;8.294781492;22.1509911;5.95;-2.63;79.56
2;10;;;2;8.04;-2.74;-92.9;13.5031774;6;13.5031774;35.6541685;8.04;-2.74;92.9
2;10;;;2;4.49;-5.47;-106.07;13.9105823;7;13.9105823;49.5647508;4.49;-5.47;106.07
2;10;;;2;1.68;-4.65;-116.62;10.94856155;8;10.94856155;60.51331235;1.68;-4.65;116.62
2;10;;;2;-7.89;-8.28;-128.09;15.3727909;9;15.3727909;75.88610325;-7.89;-8.28;128.09
2;10;;;2;-20.42;-11.77;-138.36;16.57268536;10;16.57268536;92.45878861;-20.42;-11.77;138.36
2;10;2;2;2;-32.93;-15.8;-144.58;14.54061209;11;14.54061209;106.9994007;-32.93;-15.8;144.58
2;11;;;0;1.3;0.14;-55.62;96.64190654;0;0;0;1.3;0.14;55.62
2;11;;;0;2.26;-0.03;-56.63;1.40378061;1;1.40378061;1.40378061;2.26;-0.03;56.63
2;11;;;0;2.53;0.44;-60.05;3.462686818;2;3.462686818;4.866467428;2.53;0.44;60.05
2;11;;;0;3.52;1.17;-68.25;8.291742881;3;8.291742881;13.15821031;3.52;1.17;68.25
2;11;;;0;2.66;1.83;-78.97;10.77467401;4;10.77467401;23.93288432;2.66;1.83;78.97
2;11;;;0;0.58;-1.53;-96.33;17.80408942;5;17.80408942;41.73697374;0.58;-1.53;96.33
2;11;;;0;-9.01;-1.1;-109.9;16.62221104;6;16.62221104;58.35918478;-9.01;-1.1;109.9
2;11;;;0;-18.09;-3.24;-118.19;12.47998798;7;12.47998798;70.83917276;-18.09;-3.24;118.19
2;11;;;0;-27.17;-3.42;-123.75;10.64858676;8;10.64858676;81.48775952;-27.17;-3.42;123.75
2;11;;;0;-38.21;-4.62;-127.91;11.85863399;9;11.85863399;93.34639351;-38.21;-4.62;127.91
2;11;;;0;-45.31;-3.4;-127.61;7.210298191;10;7.210298191;100.5566917;-45.31;-3.4;127.61
2;11;;;0;-51.46;-2.23;-128.88;6.387824356;11;6.387824356;106.9445161;-51.46;-2.23;128.88
2;11;;;0;-59.43;-0.26;-128.53;8.21731708;12;8.21731708;115.1618331;-59.43;-0.26;128.53
2;11;;;0;-65.6;1.39;-128.46;6.387198134;13;6.387198134;121.5490313;-65.6;1.39;128.46
2;11;;;0;-76.03;2.09;-122.04;12.26748956;14;12.26748956;133.8165208;-76.03;2.09;122.04
2;11;;;0;-81.25;3.41;-120.85;5.514245189;15;5.514245189;139.330766;-81.25;3.41;120.85
2;11;;;0;-85.55;6.95;-119.21;5.806134687;16;5.806134687;145.1369007;-85.55;6.95;119.21
2;11;;;0;-90.39;14;-117.93;8.6467624;17;8.6467624;153.7836631;-90.39;14;117.93
2;11;;;0;-94.36;19.03;-115.61;6.814998166;18;6.814998166;160.5986613;-94.36;19.03;115.61
2;11;G;0;0;-98.74;23.67;-116.18;6.406161097;19;6.406161097;167.0048224;-98.74;23.67;116.18
2;12;;;2;7.81;-8.9;-54.7;127.253675;0;0;0;7.81;-8.9;54.7
2;12;;;2;7.46;-8.91;-55.42;0.800624756;1;0.800624756;0.800624756;7.46;-8.91;55.42
2;12;;;2;6.75;-8.89;-57.01;1.741436189;2;1.741436189;2.542060945;6.75;-8.89;57.01
2;12;;;2;5.85;-8.88;-60.45;3.555798082;3;3.555798082;6.097859027;5.85;-8.88;60.45
2;12;;;2;3.42;-8.44;-65.48;5.603516753;4;5.603516753;11.70137578;3.42;-8.44;65.48
2;12;;;2;-0.31;-7.58;-71.78;7.371736566;5;7.371736566;19.07311235;-0.31;-7.58;71.78
2;12;;;2;-5.32;-8.24;-77.27;7.461621808;6;7.461621808;26.53473415;-5.32;-8.24;77.27
2;12;;;2;-10.39;-5.81;-84.08;8.830962575;7;8.830962575;35.36569673;-10.39;-5.81;84.08
2;12;;;2;-19.72;-5.42;-92.48;12.56029458;8;12.56029458;47.92599131;-19.72;-5.42;92.48
2;12;;;2;-26.88;-3.98;-99.41;10.06797398;9;10.06797398;57.99396529;-26.88;-3.98;99.41
2;12;;;2;-35.72;-7.02;-104.68;10.7312674;10;10.7312674;68.72523269;-35.72;-7.02;104.68
2;12;;;2;-43.55;-5.82;-115.35;13.2890105;11;13.2890105;82.01424318;-43.55;-5.82;115.35
2;12;;;2;-53.1;-7.3;-126.2;14.52981074;12;14.52981074;96.54405392;-53.1;-7.3;126.2
2;12;;;2;-59.56;-6.98;-134.73;10.70490075;13;10.70490075;107.2489547;-59.56;-6.98;134.73
2;12;;;2;-68.56;-5.82;-144.74;13.51094741;14;13.51094741;120.7599021;-68.56;-5.82;144.74
2;12;;;2;-75.7;-2.37;-153.36;11.71266409;15;11.71266409;132.4725662;-75.7;-2.37;153.36
2;12;;;2;-83.91;-0.52;-160.22;10.85754116;16;10.85754116;143.3301073;-83.91;-0.52;160.22
2;12;;;2;-92.33;4.46;-165.98;11.35228611;17;11.35228611;154.6823934;-92.33;4.46;165.98
2;12;;;2;-99.57;5.95;-170.33;8.576724316;18;8.576724316;163.2591178;-99.57;5.95;170.33
2;12;;;2;-106.47;10.09;-172.34;8.29395563;19;8.29395563;171.5530734;-106.47;10.09;172.34
2;12;2;2;2;-115.06;14.15;-175.34;9.963518455;20;9.963518455;181.5165918;-115.06;14.15;175.34
2;13;;;1;7.62;-8.19;-52.5;175.0403485;0;0;0;7.62;-8.19;52.5
2;13;;;1;8.44;-9.12;-52.81;1.278045383;1;1.278045383;1.278045383;8.44;-9.12;52.81
2;13;;;1;8.84;-9.29;-53.14;0.545710546;2;0.545710546;1.823755929;8.84;-9.29;53.14
2;13;;;1;11.8;-9.22;-56.7;4.630345559;3;4.630345559;6.454101488;11.8;-9.22;56.7
2;13;;;1;15.33;-9.76;-63.39;7.58344249;4;7.58344249;14.03754398;15.33;-9.76;63.39
2;13;;;1;19.27;-7.12;-73.59;11.2486977;5;11.2486977;25.28624168;19.27;-7.12;73.59
2;13;;;1;20.89;-6.09;-82.67;9.280716567;6;9.280716567;34.56695825;20.89;-6.09;82.67
2;13;;;1;23.22;-2.82;-95.82;13.74933817;7;13.74933817;48.31629641;23.22;-2.82;95.82
2;13;;;1;25.56;-6.44;-109.5;14.34302618;8;14.34302618;62.65932259;25.56;-6.44;109.5
2;13;;;1;29.64;-10.98;-118.78;11.10749297;9;11.10749297;73.76681556;29.64;-10.98;118.78
2;13;1;1;1;30.92;-17.03;-125.51;9.139682708;10;9.139682708;82.90649827;30.92;-17.03;125.51
2;14;;;1;11.35;2.77;-58.06;72.96935932;0;0;0;11.35;2.77;58.06
2;14;;;1;11.32;2.82;-58.08;0.06164414;1;0.06164414;0.06164414;11.32;2.82;58.08
2;14;;;1;11.08;2.65;-58.08;0.294108823;2;0.294108823;0.355752963;11.08;2.65;58.08
2;14;;;1;10.47;2.82;-58.99;1.108647825;3;1.108647825;1.464400788;10.47;2.82;58.99
