Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;0;48.62;57.93;-165.86;182.2891354;0;0;0;48.62;57.93;165.86
2;1;;;0;47.31;57.48;-166.12;1.40932608;1;1.40932608;1.40932608;47.31;57.48;166.12
2;1;;;0;46.34;56.32;-166.66;1.605646287;2;1.605646287;3.014972367;46.34;56.32;166.66
2;1;;;0;44.77;55.08;-168.14;2.488553797;3;2.488553797;5.503526164;44.77;55.08;168.14
2;1;;;0;40.9;52.64;-170.91;5.348214655;4;5.348214655;10.85174082;40.9;52.64;170.91
2;1;;;0;37.46;50.52;-175.4;6.040538056;5;6.040538056;16.89227888;37.46;50.52;175.4
2;1;;;0;35.54;49.38;-181.13;6.14970731;6;6.14970731;23.04198619;35.54;49.38;181.13
2;1;;;0;32.48;47.42;-189.19;8.84131212;7;8.84131212;31.88329831;32.48;47.42;189.19
2;1;;;0;32.02;44.77;-197.19;8.440029621;8;8.440029621;40.32332793;32.02;44.77;197.19
2;1;;;0;31.29;41.81;-203.01;6.570152205;9;6.570152205;46.89348013;31.29;41.81;203.01
2;1;;;0;33.18;28.36;-212.18;16.38790713;10;16.38790713;63.28138726;33.18;28.36;212.18
2;1;;;0;37.36;22.92;-211.75;6.873929007;11;6.873929007;70.15531627;37.36;22.92;211.75
2;1;;;0;41.08;15.82;-210.65;8.090636563;12;8.090636563;78.24595283;41.08;15.82;210.65
2;1;;;0;44.39;11.93;-210.42;5.112836786;13;5.112836786;83.35878961;44.39;11.93;210.42
2;1;;;0;45.97;7.52;-210.54;4.686032437;14;4.686032437;88.04482205;45.97;7.52;210.54
2;1;G;0;0;47.01;3.89;-209.74;3.85985751;15;3.85985751;91.90467956;47.01;3.89;209.74
2;2;;;0;50.72;59.16;-164.97;71.22422271;0;0;0;50.72;59.16;164.97
2;2;;;0;51.33;59.2;-164.56;0.736070649;1;0.736070649;0.736070649;51.33;59.2;164.56
2;2;;;0;52.5;60;-163.39;1.837879213;2;1.837879213;2.573949861;52.5;60;163.39
2;2;;;0;55.65;60.6;-165.4;3.784521106;3;3.784521106;6.358470967;55.65;60.6;165.4
2;2;;;0;56.8;61.8;-168.35;3.386000591;4;3.386000591;9.744471558;56.8;61.8;168.35
2;2;;;0;57.41;61.93;-172.57;4.265841066;5;4.265841066;14.01031262;57.41;61.93;172.57
2;2;;;0;58.41;62.81;-176.12;3.791688278;6;3.791688278;17.8020009;58.41;62.81;176.12
2;2;;;0;59.02;63.31;-179.54;3.509772072;7;3.509772072;21.31177297;59.02;63.31;179.54
2;2;;;0;59.58;64.23;-182.14;2.814249456;8;2.814249456;24.12602243;59.58;64.23;182.14
2;2;;;0;59.7;63.56;-185.34;3.271589828;9;3.271589828;27.39761226;59.7;63.56;185.34
2;2;;;0;59;65.51;-188.19;3.523492585;10;3.523492585;30.92110484;59;65.51;188.19
2;2;;;0;59.29;67.29;-190.55;2.970202013;11;2.970202013;33.89130686;59.29;67.29;190.55
2;2;G;0;0;58.91;69.42;-192.18;2.70891122;12;2.70891122;36.60021808;58.91;69.42;192.18
2;3;;;2;55;57.09;-165.54;29.61429722;0;0;0;55;57.09;165.54
2;3;;;2;54.71;57.18;-165.16;0.48641546;1;0.48641546;0.48641546;54.71;57.18;165.16
2;3;;;2;53.41;58.74;-164.26;2.221170862;2;2.221170862;2.707586323;53.41;58.74;164.26
2;3;;;2;52.97;63.03;-164.13;4.314464046;3;4.314464046;7.022050368;52.97;63.03;164.13
2;3;;;2;52.21;67.39;-164.47;4.438783617;4;4.438783617;11.46083399;52.21;67.39;164.47
2;3;;;2;51.96;74.03;-166.57;6.968651232;5;6.968651232;18.42948522;51.96;74.03;166.57
2;3;;;2;51.85;81.07;-168.84;7.397742899;6;7.397742899;25.82722812;51.85;81.07;168.84
2;3;;;2;49.93;87.42;-171.95;7.326731877;7;7.326731877;33.15395999;49.93;87.42;171.95
2;3;;;2;49.35;95.32;-174.17;8.226469474;8;8.226469474;41.38042947;49.35;95.32;174.17
2;3;2;2;2;46.52;101.92;-177.67;7.988673232;9;7.988673232;49.3691027;46.52;101.92;177.67
2;4;;;1;67.87;59.9;-164.37;48.97338971;0;0;0;67.87;59.9;164.37
2;4;;;1;67.89;60.11;-164.88;0.551905789;1;0.551905789;0.551905789;67.89;60.11;164.88
2;4;;;1;68.56;61.07;-165.42;1.289224573;2;1.289224573;1.841130362;68.56;61.07;165.42
2;4;;;1;73.1;67.44;-168.74;8.497699689;3;8.497699689;10.33883005;73.1;67.44;168.74
2;4;;;1;77.56;72.28;-172.34;7.501813114;4;7.501813114;17.84064317;77.56;72.28;172.34
2;4;;;1;81.99;78.17;-174.19;7.598651196;5;7.598651196;25.43929436;81.99;78.17;174.19
2;4;;;1;90.31;85.14;-178.69;11.7496085;6;11.7496085;37.18890287;90.31;85.14;178.69
2;4;;;1;96.22;91.05;-181.92;8.960418517;7;8.960418517;46.14932138;96.22;91.05;181.92
2;4;;;1;102.09;93.67;-183.52;6.624296189;8;6.624296189;52.77361757;102.09;93.67;183.52
2;4;;;1;110.86;98.24;-187.77;10.76384225;9;10.76384225;63.53745982;110.86;98.24;187.77
2;4;;;1;117.48;101.43;-193.02;9.031223616;10;9.031223616;72.56868344;117.48;101.43;193.02
