Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;2;-31.58;-2.53;-55.88;64.2360623;0;0;0;-31.58;-2.53;55.88
2;1;;;2;-32.35;-3.28;-55.09;1.33397901;1;1.33397901;1.33397901;-32.35;-3.28;55.09
2;1;;;2;-34.92;-3.91;-59.22;4.90496687;2;4.90496687;6.238945881;-34.92;-3.91;59.22
2;1;;;2;-42.89;-3.34;-67;11.15231814;3;11.15231814;17.39126403;-42.89;-3.34;67
2;1;;;2;-53.11;-2.45;-79.15;15.90166658;4;15.90166658;33.2929306;-53.11;-2.45;79.15
2;1;1;1;2;-64.96;-0.91;-85.74;13.64632551;5;13.64632551;46.93925612;-64.96;-0.91;85.74
2;1;;;2;-29.22;-0.66;-56.65;46.08294912;0;0;0;-29.22;-0.66;56.65
2;1;;;2;-30.09;2.91;-58.31;4.032046627;1;4.032046627;4.032046627;-30.09;2.91;58.31
2;1;;;2;-34.79;11.68;-59.96;10.08590105;2;10.08590105;14.11794768;-34.79;11.68;59.96
2;1;;;2;-41.75;23.73;-61.12;13.96387124;3;13.96387124;28.08181892;-41.75;23.73;61.12
2;1;;;2;-49.78;32.99;-58.49;12.53576484;4;12.53576484;40.61758375;-49.78;32.99;58.49
2;1;;;2;-54.14;42.84;-56.11;11.03161366;5;11.03161366;51.64919741;-54.14;42.84;56.11
2;1;;;2;-54.19;43.85;-55.1;1.429230562;6;1.429230562;53.07842798;-54.19;43.85;55.1
2;1;2;2;2;-54.47;48.5;-54.82;4.666829759;7;4.666829759;57.74525774;-54.47;48.5;54.82
2;2;;;0;-28.34;-7.62;-57.38;61.95792847;0;0;0;-28.34;-7.62;57.38
2;2;;;0;-28.31;-8.23;-57.18;0.642650761;1;0.642650761;0.642650761;-28.31;-8.23;57.18
2;2;;;0;-27;-13.19;-60.73;6.238605613;2;6.238605613;6.881256374;-27;-13.19;60.73
2;2;;;0;-24.14;-22.01;-61.55;9.308297374;3;9.308297374;16.18955375;-24.14;-22.01;61.55
2;2;;;0;-21.02;-32.07;-62.44;10.57024598;4;10.57024598;26.75979972;-21.02;-32.07;62.44
2;2;G;0;0;-15.17;-42.15;-59.27;12.07798824;5;12.07798824;38.83778797;-15.17;-42.15;59.27
2;3;;;1;-24.33;-2.83;-51.21;41.169547;0;0;0;-24.33;-2.83;51.21
2;3;;;1;-23.76;-2.46;-51.06;0.695916662;1;0.695916662;0.695916662;-23.76;-2.46;51.06
2;3;;;1;-22.2;0.44;-52.08;3.447317798;2;3.447317798;4.14323446;-22.2;0.44;52.08
2;3;;;1;-17.97;6.43;-54.3;7.661683888;3;7.661683888;11.80491835;-17.97;6.43;54.3
2;3;1;1;1;-12.2;14.36;-60.1;11.39376145;4;11.39376145;23.1986798;-12.2;14.36;60.1
2;4;;;0;-24.54;-2.39;-51.55;22.49312339;0;0;0;-24.54;-2.39;51.55
2;4;;;0;-25.32;-2.11;-52.19;1.047091209;1;1.047091209;1.047091209;-25.32;-2.11;52.19
2;4;;;0;-27.1;1.04;-55.75;5.075874309;2;5.075874309;6.122965518;-27.1;1.04;55.75
2;4;G;0;0;-26.99;0.81;-55.59;0.300998339;3;0.300998339;6.423963857;-26.99;0.81;55.59
2;5;;;1;-32.47;3.89;-59.32;7.30956223;0;0;0;-32.47;3.89;59.32
2;5;;;1;-40.38;8.6;-65.86;11.29264362;1;11.29264362;11.29264362;-40.38;8.6;65.86
2;5;1;1;1;-53.68;14.45;-71.36;15.53584565;2;15.53584565;26.82848927;-53.68;14.45;71.36
2;6;;;1;-20.36;-14.9;-63.11;45.16311991;0;0;0;-20.36;-14.9;63.11
2;6;;;1;-20.21;-14.05;-62.92;0.88379862;1;0.88379862;0.88379862;-20.21;-14.05;62.92
2;6;;;1;-20.58;-11.76;-63.28;2.34746672;2;2.34746672;3.231265339;-20.58;-11.76;63.28
2;6;;;1;-20.83;-5.36;-64.88;6.601704325;3;6.601704325;9.832969665;-20.83;-5.36;64.88
2;6;;;1;-21.01;4.17;-69.94;10.79151982;4;10.79151982;20.62448948;-21.01;4.17;69.94
2;6;;;1;-18.53;15.61;-77.6;13.98926731;5;13.98926731;34.6137568;-18.53;15.61;77.6
2;6;;;1;-13.34;28.54;-79.95;14.12952582;6;14.12952582;48.74328262;-13.34;28.54;79.95
2;6;1;1;1;-19.42;47.53;-86.32;20.93235295;7;20.93235295;69.67563557;-19.42;47.53;86.32
2;7;;;2;-23.4;-14.58;-61.97;66.83124269;0;0;0;-23.4;-14.58;61.97
2;7;;;2;-23.49;-15.39;-61.54;0.921466223;1;0.921466223;0.921466223;-23.49;-15.39;61.54
2;7;;;2;-23.79;-21.42;-59.4;6.405505445;2;6.405505445;7.326971667;-23.79;-21.42;59.4
2;7;;;2;-23.26;-26.56;-58.31;5.280965821;3;5.280965821;12.60793749;-23.26;-26.56;58.31
2;7;;;2;-23.55;-32.14;-60.36;5.95172244;4;5.95172244;18.55965993;-23.55;-32.14;60.36
2;7;;;2;-20.79;-38.15;-62.25;6.878211977;5;6.878211977;25.4378719;-20.79;-38.15;62.25
2;7;2;2;2;-21.63;-45.84;-64.33;8.01049936;6;8.01049936;33.44837127;-21.63;-45.84;64.33
2;8;;;1;-16.2;-17.86;-62.7;28.54859366;0;0;0;-16.2;-17.86;62.7
2;8;;;1;-15.47;-18.58;-63.13;1.111845313;1;1.111845313;1.111845313;-15.47;-18.58;63.13
2;8;;;1;-15.13;-18.31;-63.73;0.740607858;2;0.740607858;1.852453171;-15.13;-18.31;63.73
2;8;;;1;-14.99;-19.76;-66.63;3.245319707;3;3.245319707;5.097772878;-14.99;-19.76;66.63
2;8;;;1;-14.32;-19.07;-71.87;5.327532262;4;5.327532262;10.42530514;-14.32;-19.07;71.87
2;8;;;1;-14.39;-19.51;-80.91;9.050972323;5;9.050972323;19.47627746;-14.39;-19.51;80.91
2;8;1;1;1;-13.96;-18.9;-94.01;13.12124232;6;13.12124232;32.59751978;-13.96;-18.9;94.01
2;9;;;1;2.34;-9.78;-60.59;38.28525565;0;0;0;2.34;-9.78;60.59
2;9;;;1;2.57;-9.45;-59.75;0.931343116;1;0.931343116;0.931343116;2.57;-9.45;59.75
2;9;;;1;1.32;-5.33;-61.67;4.714159522;2;4.714159522;5.645502638;1.32;-5.33;61.67
2;9;;;1;2.89;0.62;-64;6.579992401;3;6.579992401;12.22549504;2.89;0.62;64
2;9;;;1;2.23;12.1;-71.62;13.79457865;4;13.79457865;26.02007368;2.23;12.1;71.62
2;9;1;1;1;6.78;26.47;-77.73;16.26442437;5;16.26442437;42.28449805;6.78;26.47;77.73
2;10;;;0;1.32;-11.57;-62.09;41.49051458;0;0;0;1.32;-11.57;62.09
2;10;;;0;0.72;-12.35;-62.85;1.243382483;1;1.243382483;1.243382483;0.72;-12.35;62.85
2;10;;;0;3.15;-15.66;-68.13;6.688751752;2;6.688751752;7.932134235;3.15;-15.66;68.13
2;10;;;0;4.74;-17.82;-72.4;5.042479549;3;5.042479549;12.97461378;4.74;-17.82;72.4
2;10;G;0;0;4.71;-17.75;-72.66;0.270924344;4;0.270924344;13.24553813;4.71;-17.75;72.66
2;11;;;2;15.52;-27.08;-81.81;16.95958431;0;0;0;15.52;-27.08;81.81
2;11;;;2;26.14;-40.1;-88.48;18.07743621;1;18.07743621;18.07743621;26.14;-40.1;88.48
2;11;2;2;2;34.17;-54.97;-89.08;16.91028681;2;16.91028681;34.98772302;34.17;-54.97;89.08
2;12;;;2;9.06;-9.42;-58.38;60.39705788;0;0;0;9.06;-9.42;58.38
2;12;;;2;8.42;-9.18;-58.15;0.721179589;1;0.721179589;0.721179589;8.42;-9.18;58.15
2;12;;;2;7.15;-8.08;-57.99;1.687749981;2;1.687749981;2.408929571;7.15;-8.08;57.99
2;12;;;2;2.76;-6.07;-62.44;6.566178493;3;6.566178493;8.975108064;2.76;-6.07;62.44
2;12;;;2;-6.25;-2.71;-68.16;11.18874881;4;11.18874881;20.16385688;-6.25;-2.71;68.16
2;12;;;2;-18.07;-3;-74.99;13.65450109;5;13.65450109;33.81835797;-18.07;-3;74.99
2;12;;;2;-34.55;-0.4;-79.18;17.20193303;6;17.20193303;51.020291;-34.55;-0.4;79.18
2;12;;;2;-53.53;1.65;-83.93;19.67245282;7;19.67245282;70.69274382;-53.53;1.65;83.93
2;12;;;2;-69.54;4.18;-85.97;16.33654186;8;16.33654186;87.02928568;-69.54;4.18;85.97
2;12;;;2;-81.15;10.46;-84.33;13.30113153;9;13.30113153;100.3304172;-81.15;10.46;84.33
2;12;;;2;-97.46;19.34;-83.27;18.60091664;10;18.60091664;118.9313339;-97.46;19.34;83.27
2;12;;;2;-111.99;25.96;-81.64;16.04999065;11;16.04999065;134.9813245;-111.99;25.96;81.64
2;12;;;2;-124.19;28.89;-78.24;12.99941922;12;12.99941922;147.9807437;-124.19;28.89;78.24
2;12;;;2;-140.24;33.24;-74.76;16.98927309;13;16.98927309;164.9700168;-140.24;33.24;74.76
2;12;;;2;-153.3;34.2;-72.23;13.3373948;14;13.3373948;178.3074116;-153.3;34.2;72.23
2;12;2;2;2;-165.42;40.11;-67.73;14.21522072;15;14.21522072;192.5226323;-165.42;40.11;67.73
2;13;;;1;23.06;-13.4;-56.15;196.2705452;0;0;0;23.06;-13.4;56.15
2;13;;;1;23.99;-12.78;-56.07;1.120580207;1;1.120580207;1.120580207;23.99;-12.78;56.07
2;13;;;1;26.06;-12.62;-52.87;3.814511764;2;3.814511764;4.935091971;26.06;-12.62;52.87
2;13;;;1;28.5;-12.62;-49.86;3.874751605;3;3.874751605;8.809843576;28.5;-12.62;49.86
