Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;5;;;2;-209.32;17.96;-143.66;12.08501965;21;12.08501965;214.9968449;-209.32;17.96;143.66
2;5;;;2;-213.53;19.49;-138.27;7.008359294;22;7.008359294;222.0052042;-213.53;19.49;138.27
2;5;;;2;-221.76;24.29;-131.41;11.74020869;23;11.74020869;233.7454129;-221.76;24.29;131.41
2;5;2;2;2;-227.33;26.36;-125.85;8.137776109;24;8.137776109;241.883189;-227.33;26.36;125.85
2;6;;;1;-25.21;19.49;-148.96;203.5528516;0;0;0;-25.21;19.49;148.96
2;6;;;1;-26.56;19.55;-150.15;1.800611007;1;1.800611007;1.800611007;-26.56;19.55;150.15
2;6;;;1;-29.24;19.01;-151.9;3.245997535;2;3.245997535;5.046608543;-29.24;19.01;151.9
2;6;;;1;-34.26;20.53;-154.7;5.945653875;3;5.945653875;10.99226242;-34.26;20.53;154.7
2;6;;;1;-40.53;23.05;-160.16;8.687629136;4;8.687629136;19.67989155;-40.53;23.05;160.16
2;6;;;1;-44.86;30.4;-164.47;9.557588608;5;9.557588608;29.23748016;-44.86;30.4;164.47
2;6;;;1;-46.87;41.19;-165.78;11.0535198;6;11.0535198;40.29099996;-46.87;41.19;165.78
2;6;;;1;-44.6;51.9;-162.47;11.43735546;7;11.43735546;51.72835543;-44.6;51.9;162.47
2;6;;;1;-40.04;62.13;-158.78;11.79248066;8;11.79248066;63.52083608;-40.04;62.13;158.78
2;6;;;1;-35.66;71.43;-153.32;11.63984536;9;11.63984536;75.16068144;-35.66;71.43;153.32
2;6;;;1;-28.83;81.83;-148.57;13.31808545;10;13.31808545;88.47876689;-28.83;81.83;148.57
2;6;1;1;1;-25.95;92.22;-145.79;11.13440165;11;11.13440165;99.61316853;-25.95;92.22;145.79
2;7;;;1;-22.55;20.38;-151.7;72.16282769;0;0;0;-22.55;20.38;151.7
2;7;;;1;-22.69;20.85;-151.89;0.525927752;1;0.525927752;0.525927752;-22.69;20.85;151.89
2;7;;;1;-22.89;22.19;-151.63;1.379565149;2;1.379565149;1.905492901;-22.89;22.19;151.63
2;7;;;1;-22.18;26.61;-152.61;4.582673892;3;4.582673892;6.488166793;-22.18;26.61;152.61
2;7;;;1;-22.83;31.86;-152.13;5.311817015;4;5.311817015;11.79998381;-22.83;31.86;152.13
2;7;;;1;-23.4;38.49;-152.72;6.680561354;5;6.680561354;18.48054516;-23.4;38.49;152.72
2;7;;;1;-24.07;46.32;-150.51;8.163449026;6;8.163449026;26.64399419;-24.07;46.32;150.51
2;7;;;1;-25.83;55.19;-149.58;9.090621541;7;9.090621541;35.73461573;-25.83;55.19;149.58
2;7;;;1;-25.67;62.59;-147.55;7.675057003;8;7.675057003;43.40967273;-25.67;62.59;147.55
2;7;;;1;-26.88;69.42;-146.11;7.084250137;9;7.084250137;50.49392287;-26.88;69.42;146.11
2;7;;;1;-26.82;81.19;-144.26;11.91465484;10;11.91465484;62.40857771;-26.82;81.19;144.26
2;7;1;1;1;-27.86;89.11;-145.22;8.045470776;11;8.045470776;70.45404849;-27.86;89.11;145.22
2;8;;;2;-20.19;20.92;-152.46;69.0008884;0;0;0;-20.19;20.92;152.46
2;8;;;2;-19.76;20.57;-153.11;0.854341852;1;0.854341852;0.854341852;-19.76;20.57;153.11
2;8;;;2;-18.39;20.67;-154.17;1.735079249;2;1.735079249;2.589421101;-18.39;20.67;154.17
2;8;;;2;-15.51;22.24;-156.18;3.84699883;3;3.84699883;6.436419931;-15.51;22.24;156.18
2;8;;;2;-11.24;24.7;-158.98;5.667847916;4;5.667847916;12.10426785;-11.24;24.7;158.98
2;8;;;2;-6.44;30.28;-161.13;7.668044079;5;7.668044079;19.77231193;-6.44;30.28;161.13
2;8;;;2;-1.62;37.03;-164.05;8.793253095;6;8.793253095;28.56556502;-1.62;37.03;164.05
2;8;;;2;5.34;48.1;-163.14;13.10780683;7;13.10780683;41.67337186;5.34;48.1;163.14
2;8;;;2;8.67;57.77;-161.18;10.41342403;8;10.41342403;52.08679588;8.67;57.77;161.18
2;8;;;2;13.52;67.34;-155.13;12.31705728;9;12.31705728;64.40385316;13.52;67.34;155.13
2;8;;;2;16.07;79.54;-147.33;14.70314592;10;14.70314592;79.10699908;16.07;79.54;147.33
2;8;2;2;2;20.26;90.07;-140.99;12.98586154;11;12.98586154;92.09286063;20.26;90.07;140.99
2;9;;;1;-12.93;14.23;-147.95;83.07661103;0;0;0;-12.93;14.23;147.95
2;9;;;1;-12.63;15.04;-148.31;0.935788438;1;0.935788438;0.935788438;-12.63;15.04;148.31
2;9;;;1;-11.67;16.97;-149.41;2.420020661;2;2.420020661;3.355809099;-11.67;16.97;149.41
2;9;;;1;-9.18;20.55;-153.29;5.837028354;3;5.837028354;9.192837452;-9.18;20.55;153.29
2;9;;;1;-4.18;23.77;-158.89;8.168745314;4;8.168745314;17.36158277;-4.18;23.77;158.89
2;9;;;1;0.12;28.75;-164.12;8.404956871;5;8.404956871;25.76653964;0.12;28.75;164.12
2;9;;;1;5.3;31.22;-169.32;7.744243023;6;7.744243023;33.51078266;5.3;31.22;169.32
2;9;1;1;1;15.02;42.06;-178.1;17.00212928;7;17.00212928;50.51291194;15.02;42.06;178.1
2;10;;;1;-14.49;9.23;-145.85;54.66910919;0;0;0;-14.49;9.23;145.85
2;10;;;1;-14.01;8.97;-146.23;0.665131566;1;0.665131566;0.665131566;-14.01;8.97;146.23
2;10;;;1;-13.33;7.51;-146.64;1.661956678;2;1.661956678;2.327088244;-13.33;7.51;146.64
2;10;1;1;1;-12.63;4.68;-146.41;2.924346081;3;2.924346081;5.251434325;-12.63;4.68;146.41
2;11;;;2;-15.21;8.86;-146.44;4.9121991;0;0;0;-15.21;8.86;146.44
2;11;;;2;-15.65;8.14;-146.98;1.001798383;1;1.001798383;1.001798383;-15.65;8.14;146.98
2;11;2;2;2;-17.15;7.35;-148.32;2.160948866;2;2.160948866;3.162747249;-17.15;7.35;148.32
