Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;0;-29.49;-4.03;-51.04;59.08453774;0;0;0;-29.49;-4.03;51.04
2;1;;;0;-30.9;-5.42;-48.83;2.967204071;1;2.967204071;2.967204071;-30.9;-5.42;48.83
2;1;;;0;-34.9;-6.67;-49.63;4.266438796;2;4.266438796;7.233642867;-34.9;-6.67;49.63
2;1;;;0;-45.18;-10;-54.56;11.87738187;3;11.87738187;19.11102473;-45.18;-10;54.56
2;1;;;0;-53.23;-8.28;-61.17;10.55713029;4;10.55713029;29.66815503;-53.23;-8.28;61.17
2;1;;;0;-60.43;-7.87;-74.01;14.72663234;5;14.72663234;44.39478736;-60.43;-7.87;74.01
2;1;;;0;-66.41;-5.94;-88.43;15.72964399;6;15.72964399;60.12443135;-66.41;-5.94;88.43
2;1;;;0;-70.26;-7.36;-100.38;12.63492778;7;12.63492778;72.75935913;-70.26;-7.36;100.38
2;1;g;0;0;-76.92;-6.48;-110.26;11.94756879;8;11.94756879;84.70692792;-76.92;-6.48;110.26
2;2;;;1;-27.49;-5.28;-53.48;75.29099083;0;0;0;-27.49;-5.28;53.48
2;2;;;1;-27.19;-5.78;-53.1;0.695988506;1;0.695988506;0.695988506;-27.19;-5.78;53.1
2;2;;;1;-28.16;-8.29;-54.58;3.071058449;2;3.071058449;3.767046955;-28.16;-8.29;54.58
2;2;;;1;-30.52;-12.87;-57.78;6.06514633;3;6.06514633;9.832193285;-30.52;-12.87;57.78
2;2;;;1;-34.79;-16.66;-63.05;7.769806947;4;7.769806947;17.60200023;-34.79;-16.66;63.05
2;2;1;1;1;-40.27;-22.69;-68.88;10.01899197;5;10.01899197;27.6209922;-40.27;-22.69;68.88
2;3;;;2;-29.76;-0.63;-55.52;27.84947576;0;0;0;-29.76;-0.63;55.52
2;3;;;2;-29.4;-0.12;-56.2;0.923092628;1;0.923092628;0.923092628;-29.4;-0.12;56.2
2;3;;;2;-31.04;6.79;-65.75;11.90126884;2;11.90126884;12.82436147;-31.04;6.79;65.75
2;3;;;2;-28.35;-1.36;-56.85;12.36400421;3;12.36400421;25.18836567;-28.35;-1.36;56.85
2;3;;;2;-28.13;-1.92;-57.31;0.757363849;4;0.757363849;25.94572952;-28.13;-1.92;57.31
2;3;;;2;-27.84;-2.66;-59.17;2.02269622;5;2.02269622;27.96842574;-27.84;-2.66;59.17
2;3;;;2;-27.34;-3.49;-63.65;4.583590296;6;4.583590296;32.55201604;-27.34;-3.49;63.65
2;3;;;2;-28.82;-3.87;-69.81;6.346684174;7;6.346684174;38.89870021;-28.82;-3.87;69.81
2;3;;;2;-29;-5.67;-79.2;9.562661763;8;9.562661763;48.46136198;-29;-5.67;79.2
2;3;;;2;-34.18;-6.89;-90.17;12.19269043;9;12.19269043;60.65405241;-34.18;-6.89;90.17
2;3;;;2;-35.74;-10.77;-100.72;11.34859022;10;11.34859022;72.00264263;-35.74;-10.77;100.72
2;3;;;2;-44.04;-14.25;-108.51;11.90312984;11;11.90312984;83.90577247;-44.04;-14.25;108.51
2;3;2;2;2;-47.49;-19.61;-118.16;11.56523238;12;11.56523238;95.47100485;-47.49;-19.61;118.16
2;4;;;1;-9.64;-2.88;-54.03;76.32281638;0;0;0;-9.64;-2.88;54.03
2;4;;;1;-9.74;-2.62;-54.29;0.381051178;1;0.381051178;0.381051178;-9.74;-2.62;54.29
2;4;;;1;-10.56;-1.99;-56.24;2.20721544;2;2.20721544;2.588266618;-10.56;-1.99;56.24
2;4;;;1;-12.59;-1.18;-60.31;4.619729429;3;4.619729429;7.207996047;-12.59;-1.18;60.31
2;4;;;1;-17.18;-0.65;-65.92;7.267812601;4;7.267812601;14.47580865;-17.18;-0.65;65.92
2;4;;;1;-20.74;-0.64;-71.35;6.492965424;5;6.492965424;20.96877407;-20.74;-0.64;71.35
2;4;;;1;-27.5;-1.49;-77.86;9.423385803;6;9.423385803;30.39215988;-27.5;-1.49;77.86
2;4;;;1;-34.21;-3.25;-86.99;11.46641182;7;11.46641182;41.85857169;-34.21;-3.25;86.99
2;4;;;1;-42.16;-4.93;-92.95;10.07702833;8;10.07702833;51.93560003;-42.16;-4.93;92.95
2;4;;;1;-47.42;-0.94;-99.19;9.084343675;9;9.084343675;61.0199437;-47.42;-0.94;99.19
2;4;;;1;-56.02;-1.15;-107.59;12.02348119;10;12.02348119;73.04342489;-56.02;-1.15;107.59
2;4;;;1;-61.62;-2.22;-114.06;8.623560749;11;8.623560749;81.66698564;-61.62;-2.22;114.06
2;4;1;1;1;-66.55;-5.59;-121.81;9.783879599;12;9.783879599;91.45086524;-66.55;-5.59;121.81
2;5;;;2;-8.41;-4.7;-56.18;87.68322873;0;0;0;-8.41;-4.7;56.18
2;5;;;2;-8.09;-5.07;-56.4;0.536376733;1;0.536376733;0.536376733;-8.09;-5.07;56.4
2;5;;;2;-7.92;-6.46;-58.12;2.217972047;2;2.217972047;2.75434878;-7.92;-6.46;58.12
2;5;;;2;-8.54;-8.23;-62.62;4.875171792;3;4.875171792;7.629520572;-8.54;-8.23;62.62
