Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;1;;;2;-34.47;-8.45;-60.53;70.16740198;0;0;0;-34.47;-8.45;60.53
2;1;;;2;-34.64;-8.71;-60.43;0.326343377;1;0.326343377;0.326343377;-34.64;-8.71;60.43
2;1;;;2;-36.01;-9.54;-61.31;1.827621405;2;1.827621405;2.153964782;-36.01;-9.54;61.31
2;1;;;2;-39.32;-11.54;-64.2;4.827856667;3;4.827856667;6.98182145;-39.32;-11.54;64.2
2;1;;;2;-43.38;-12.96;-69.03;6.467526575;4;6.467526575;13.44934802;-43.38;-12.96;69.03
2;1;;;2;-32.68;-11;-61.32;13.33325542;5;13.33325542;26.78260344;-32.68;-11;61.32
2;1;;;2;-32.15;-11.82;-62.73;1.71505102;6;1.71505102;28.49765446;-32.15;-11.82;62.73
2;1;;;2;-32;-12.65;-66.4;3.76567391;7;3.76567391;32.26332837;-32;-12.65;66.4
2;1;;;2;-32.03;-12.22;-70.94;4.560416648;8;4.560416648;36.82374502;-32.03;-12.22;70.94
2;1;;;2;-32.29;-11.68;-79.08;8.16203406;9;8.16203406;44.98577908;-32.29;-11.68;79.08
2;1;;;2;-30.93;-4.93;-87.02;10.50979067;10;10.50979067;55.49556975;-30.93;-4.93;87.02
2;1;;;2;-29.84;0.78;-95.43;10.22351701;11;10.22351701;65.71908676;-29.84;0.78;95.43
2;1;;;2;-27.52;3.7;-101.45;7.081609986;12;7.081609986;72.80069675;-27.52;3.7;101.45
2;1;;;2;-24.72;5.81;-110.21;9.435555098;13;9.435555098;82.23625184;-24.72;5.81;110.21
2;1;;;2;-20.35;9.66;-120.05;11.43437799;14;11.43437799;93.67062983;-20.35;9.66;120.05
2;1;;;2;-16.92;10.5;-129.2;9.807803016;15;9.807803016;103.4784328;-16.92;10.5;129.2
2;1;;;2;-14.22;14.18;-135.9;8.106935303;16;8.106935303;111.5853682;-14.22;14.18;135.9
2;1;2;2;2;-8.04;16.82;-144.17;10.65621415;17;10.65621415;122.2415823;-8.04;16.82;144.17
2;2;;;0;-20.62;-2.61;-58.5;88.74193034;0;0;0;-20.62;-2.61;58.5
